Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Work item split),Outward issue link (Work item split),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Activation Date),Custom field (Actual results),Custom field (Affected services),Custom field (Approvals),Custom field (Bug Template),Custom field (Category),Custom field (Content type),Custom field (Development),Custom field (Due date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected results),Custom field (Focus Areas),Custom field (Goals),Custom field (Handover Points),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Publication date),Custom field (Quality Level),Custom field (Rank),Custom field (Release End Date),Custom field (Release Risk),Custom field (Release Start Date),Custom field (Release State),Custom field (Release Status),Custom field (Release notes),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (SURE Jira link),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Custom field (StackState Team),Custom field (Start date),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target Fix Date),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Template),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
[Dashboards] Drag on timeseries or bar chart to select time range,STAC-24048,49841,User Story,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,,,,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,09/Dec/25 2:44 PM,10/Dec/25 11:24 AM,,,,,,0,,,"Just like on the other charts in StackState it should be possible to drag the mouse over the timeseries and bar chart widgets to update the selected time range.

*Acceptance criteria*

* Dragging over a chart should select a time range in the same way it does on charts in the metrics perspective
* The timerange of the entire dashboard gets updated (just the same as when you would update it via the time range control on the dashboard).",,Remco Beckers,,,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d72894b,,,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz3,,,,,,,,,,,,,,Team Borg - To refine,,,,Borg,,,,,,,,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,09/Dec/25 2:44 PM
Dashboards UI loads .js values from cdn,STAC-24036,49790,Bug,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,,,,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,05/Dec/25 8:31 AM,09/Dec/25 9:58 AM,,,suse-observability/2.6.2,,,0,,,"_Actual behavior_:
The editor in the dashboards UI loads some javascript (all?) from a CDN instead of our own server.

There's a JS ([https://cdn.jsdelivr.net/npm/monaco-editor@0.52.2/min/vs/loader.js)|https://cdn.jsdelivr.net/npm/monaco-editor@0.52.2/min/vs/loader.js)] dependency that's trying to be downloaded. I have attached 2 screenshots showing the error. After slack thread ([https://suse.slack.com/archives/C07CF9770R3/p1764838199507889)|https://suse.slack.com/archives/C07CF9770R3/p1764838199507889)] discussion we agreed to treat the issue as a bug 

This is not what we want and is a problem in some air-gapped environments.

_Expected behavior_:
All dependencies are downloaded from stackstate server itself

_Steps to reproduce_:
Open the edit widget UI

_Technical note_:",,Remco Beckers,,,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69e10a1d,,,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz0z,,,,,,,,,,https://jira.suse.com/browse/SURE-11036,,,,Team Borg - To refine,,,,Borg,,,,,,,,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,05/Dec/25 8:31 AM
[Dashboards] Gauge widget text size when zooming out in browser,STAC-24012,49595,Bug,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,,,,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,28/Nov/25 4:22 PM,10/Dec/25 11:24 AM,,,,,,0,,,"!image-20251128-152241.png|width=509,alt=""image-20251128-152241.png""!

See second widget across, the text size looks larger than it probably should be. This was when, during a demo, the page was zoomed from 100% to 90%",,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,28/Nov/25 4:23 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251128-152241.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/26365,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1983ce6c,"*Actual behavior*:


*Expected behavior*:


*Steps to reproduce*:


*Technical note*:

",,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz3xi,,,,,,,,,,,,,,Team Borg - To refine,,,,Borg,,,,,,,,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,28/Nov/25 4:22 PM
[Dashboards] Markdown widget markdown editor does not wrap text,STAC-24011,49594,Bug,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,,,,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,28/Nov/25 4:21 PM,10/Dec/25 11:24 AM,,,,,,0,,,,,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@162b356d,"*Actual behavior*:


*Expected behavior*:


*Steps to reproduce*:


*Technical note*:

",,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz3x,,,,,,,,,,,,,,Team Borg - To refine,,,,Borg,,,,,,,,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,28/Nov/25 4:21 PM
[Dashboards] Variable name truncation issue,STAC-24010,49593,Bug,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,,,,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,28/Nov/25 4:18 PM,11/Dec/25 3:48 PM,,,,,,0,,,"During the demo on 28th November, Remco demoed a dashboard that had some variables such that only the first two are shown (with the rest behind the dropdown).

The variable’s display name was “Cluster”, and it had some long, truncated value selected.

However, the display name was truncated such that it looked like “Clus er”, but no ellipsis was rendered.


You can force the weird rendering by changing the width in the inspector of the display title of the variable (see how it says “Cluser” instead of “Cluster”):

!image-20251211-144818.png|width=281,alt=""image-20251211-144818.png""!",,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,11/Dec/25 3:48 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251211-144818.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/26464,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@848f245,"*Actual behavior*:


*Expected behavior*:


*Steps to reproduce*:


*Technical note*:

",,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz3v,,,,,,,,,,,,,,Team Borg - To refine,,,,Borg,,,,,,,,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,28/Nov/25 4:18 PM
[Dashboards] Stat charts within the same widget should have same text sizes,STAC-24009,49592,User Story,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,,,,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,28/Nov/25 3:38 PM,10/Dec/25 11:24 AM,,,,,,0,,,"!image-20251128-144022.png|width=720,alt=""image-20251128-144022.png""!

The stats (on the most left) widget should always use the same font size for both label and value, similar to grafana

!image-20251128-144120.png|width=1090,alt=""image-20251128-144120.png""!",,Anton Ovechkin,,,61d2f4ebce3652006aaa23ca,,,,,,,,,,,,,,,,,,,,,,,,28/Nov/25 3:41 PM;ug:07e0acc9-abd6-43d9-9701-35b440909661;image-20251128-144022.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/26364,28/Nov/25 3:41 PM;ug:07e0acc9-abd6-43d9-9701-35b440909661;image-20251128-144120.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/26363,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7fe97c7c,,,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz3p,,,,,,,,,,,,,,Team Borg - To refine,,,,Borg,,,,,,,,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,28/Nov/25 3:38 PM
Document available CLI commands,STAC-24007,49588,User Story,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,,,,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,28/Nov/25 10:28 AM,09/Dec/25 9:58 AM,,,,,,0,,,"We want to add to the documentation that dasbhoards are supported on the stackstate-cli tool. What we don’t want is to spell out the details of every sub-command (which would be also a pain to maintain). 

The {{--help}} option on the CLI should be detailed enough for users to use any of the commands. For example, the dashboard CRUD commands shouldn’t need any additional documentation. 

Commands that are used in a troubleshooting flow or for a specific purpose should be included (with examples) in the detailed documentation for that user flow (troubleshooting topology or health synchronization, monitor creation, etc.). So the CLI docs page only needs to have a list with the top-level commands and a short description for each so users have an overview of the capabilities of the Cli.

*Acceptance criteria*

* Add an overview of CLI top-level commands with a short description, similar to the one in the [Rancher docs|https://documentation.suse.com/cloudnative/rancher-manager/v2.12/en/rancher-admin/cli/rancher-cli.html#_commands]. It’s probably best to create a separate docs page for this, the existing page is already big. 
* Include the {{dashboard}} command behind its feature flag
* Include the otel mapping commands behind the stackpacks2 feature flag
* Include the rationale above in a small ADR (Architectural decission record) document in the Cli repository, so we have this documented for the future.",,Remco Beckers,,,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4866f7e6,,,,{},,,,,,,,,,,,,,,,A,1|i02vgb:,,,,,,,,,,,,,,Team Borg - Next up,,,,Borg,,,2.0,,,,,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,28/Nov/25 10:28 AM
[Dashboards] Quick selection for only my dashboards or only shared dashboards,STAC-24001,49547,User Story,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,,,,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,27/Nov/25 9:24 AM,09/Dec/25 10:03 AM,,,,,,0,,,"In the dashboard overview, I want to quickly select only my own dashboards (public or private) or the dashboards that are shared with me. 

*Acceptance criteria*

* Add a quick filter (like the {{All dashboards}} and {{Starred dashboards}} filters) to select {{My dashboards}}
* Add a quick filter for {{Shared with me}}
* Re-order the filters and select “Starred” by default: {{Starred | My Dashboards | Shared with me | All}}
* Each filter includes the word {{dashboard}}. That makes the text very long and feels rather redundant. Only for {{My dashboards}} it feels like it is required. What do you think?",,Remco Beckers,,,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@544710d6,,,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz1z,,,,,,,,,,,,,,Team Borg - To refine,,,,Borg,,,,,,,,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,27/Nov/25 9:24 AM
"[Dashboards] When ""save variables"" is turned off, it should not set a default value ",STAC-23989,49466,User Story,In Review,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,25/Nov/25 4:07 PM,08/Dec/25 9:38 AM,,,,,,0,,,"Right now, when creating variables, it always picks the first value as the default value. After a discussion between [~accountid:557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa] [~accountid:61d2f4ebce3652006aaa23ca] [~accountid:712020:a950806e-86c0-42f7-b531-66e40f57b9ee] , it was decided it should work as follows.

When “Save variables” is off

* When creating a new variable, no default value should be saved in the dashboard spec YAML (the value is empty)
* When loading the dashboard with no URL params in it for the variables, the frontend should run the queries and sort the resulting options, and pick the first one to show the user
* The above first items are then immediately reflected in the URL
* Subsequent changes to the variables change the URL
* Variables never show the “Reset” link when changed because there is no concept of “default value” in this mode


When “Save variables” is on – *it should work as it does now*

* On variable creation, the default value is set to the first item after being sorted
* When changing variables, the dashboard is marked as dirty (because changing it updates the dashboard spec)
* Saving the dashboard saves the variables to it
** Visiting the dashboard with no URL params and with URL params has no difference, it always uses the variables saved in the dashboard spec
* Variables show the “Reset” link when changed from the value already saved


When toggling between on and off for “Save variables” – *it should work as it does now*

* We do not run any logic to get the first value of the query etc, as far as the user is concerned, the variables do not change
** Simply, in the code, we determine where to save them",,Release StackState,Samuel Jones,,5f0c19c95ee2c3002363e486,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@51009c4c,,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-11-27T09:34:52.795+0100"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02v6n:,,,,,,,,,,,,,,Prepare dashboards release,Dashboards release?,,,Borg,,,5.0,,,,,,,,,,2025-11-27 08:35:00.478,,,27/Nov/25 9:35 AM;5f0c19c95ee2c3002363e486;[Sam Jones|https://gitlab.com/sdjnes] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9364] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-23989-dashboard-variables-default-value|https://gitlab.com/stackvista/stackstate/-/tree/STAC-23989-dashboard-variables-default-value]:{quote}Draft: STAC-23989 Fix variable default values{quote},,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,In Progress,25/Nov/25 4:12 PM
[Dashboards] Links are not saved for Markdown widget,STAC-23988,49465,Bug,To Bulk,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,,,,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,25/Nov/25 3:43 PM,10/Dec/25 11:24 AM,,,,,,0,,,,,Anton Ovechkin,,,61d2f4ebce3652006aaa23ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@76ddb68f,"*Actual behavior*:


*Expected behavior*:


*Steps to reproduce*:


*Technical note*:

",,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz2i,,,,,,,,,,,,,,Team Borg - To refine,,,,Borg,,,,,,,,,,,,,,,,,,,,,,,,38662,STAC-22375,Dashboards as 1st class citizen,To Do,25/Nov/25 3:43 PM
