Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Approval),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Activation Date),Custom field (Actual results),Custom field (Affected services),Custom field (Approvals),Custom field (Bug Template),Custom field (Category),Custom field (Content type),Custom field (Customers),Custom field (Development),Custom field (Due date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected results),Custom field (Focus Areas),Custom field (Goals),Custom field (Handover Points),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Publication date),Custom field (Quality Level),Custom field (Rank),Custom field (Release End Date),Custom field (Release Risk),Custom field (Release Start Date),Custom field (Release State),Custom field (Release Status),Custom field (Release notes),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (SURE Jira link),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (StackState Team),Custom field (Start date),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target Fix Date),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Template),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Exploring the suse-observability-cli-tests framework,STAC-24146,50219,Internal Work / Quality Improvement,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,07/Jan/26 6:41 AM,07/Jan/26 6:42 AM,,,,,,0,,,"* Exploring the suse-observability-cli-tests framework
** repo-[https://gitlab.com/stackvista/integrations/suse-observability-cli-tests|https://gitlab.com/stackvista/integrations/suse-observability-cli-tests|smart-link] ",,rajukumar.macha,,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6f63f2e9,,,,,{},,,,,,,,,,,,,,,,A,1|i02vz3:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,,,,,,,,,,,In Progress,07/Jan/26 6:42 AM
Hbase regions getting OOM killed on chaos-1,STAC-24132,50196,Bug,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Critical,Done,Frank van Lankvelt,5ffe1a6c9edf280075d1b224,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,05/Jan/26 8:59 AM,06/Jan/26 2:42 PM,,06/Jan/26 2:42 PM,,,,0,,,After a kubernetes cluster upgrade the hbase regions restart with OOMKilled. Discussion here: [https://suse.slack.com/archives/C08HNSAD10Q/p1767602065522329|https://suse.slack.com/archives/C08HNSAD10Q/p1767602065522329|smart-link] ,,Bram Schuur,,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAC-24134,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@49056265,,,,,"{repository={count=3, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":3,""lastUpdated"":""2026-01-06T12:27:56.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":3,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vyf:,,,,,,,,,,,,,,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,,,,,,,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_7844_*|*_3_*:*_1_*:*_96600633_*|*_10400_*:*_1_*:*_2388_*|*_10401_*:*_1_*:*_0,,,,,,,,,Done,06/Jan/26 2:42 PM
List jobs don't create the required resources,STAC-24122,50148,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,30/Dec/25 11:40 AM,06/Jan/26 9:21 AM,,06/Jan/26 9:21 AM,,,,0,,,"The list commands that run K8s job fail with

{noformat}│   Warning  FailedMount             3m31s (x13 over 13m)  kubelet                  MountVolume.SetUp failed for volume ""minio-keys"" : secret ""suse-observability-backup-cli-minio-keys"" not found                                   │
│   Warning  FailedMount             89s (x14 over 13m)    kubelet                  MountVolume.SetUp failed for volume ""backup-restore-scripts"" : configmap ""suse-observability-backup-cli-restore-scripts"" not found{noformat}

Those resources are created by “restore” jobs only.



AC.

* List jobs should create the necessary resources",,Vladimir Iliakov,,,,61b198bc744c4d006987cf03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c6c373f,"*Actual behavior*:


*Expected behavior*:


*Steps to reproduce*:


*Technical note*:

",,,,{},,,,,,,,,,,,,,,,A,1|i02vwf:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_88608_*|*_3_*:*_1_*:*_6347528_*|*_10400_*:*_1_*:*_9299575_*|*_10401_*:*_1_*:*_0,,,,,,46449,STAC-23374,Single command restore of backup data,Done,06/Jan/26 9:21 AM
Backup CLI configMap and Secret must have the same name,STAC-24121,50146,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,30/Dec/25 11:28 AM,06/Jan/26 9:21 AM,,06/Jan/26 9:21 AM,,,,0,,,"The backup cli’s configmap and Secret names are generated differently. A configmap is based on the name of the Chart, whereas secret also takes ReleaseName into account, the cli fails to discover the secret.



AC:

* Make the name generation consistent. A static name based on the Chart name is good enough.",,Vladimir Iliakov,,,,61b198bc744c4d006987cf03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@644ea007,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-12-30T11:43:11.416+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vw7:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_7133908_*|*_3_*:*_1_*:*_8749_*|*_10400_*:*_1_*:*_4333_*|*_10401_*:*_1_*:*_0,,,,,,46449,STAC-23374,Single command restore of backup data,Done,06/Jan/26 9:21 AM
Workloadobserver in crashloopbackoff when reading state,STAC-24120,50144,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,Done,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,30/Dec/25 11:16 AM,30/Dec/25 1:06 PM,,30/Dec/25 1:06 PM,,,,0,,,"Observed on chaos-1, see:

{noformat}Setting up logging with level: info                                                                                                                              │
│ time=2025-12-30T10:11:57.047Z level=INFO msg=""Starting deployment observer""                                                                                      │
│ time=2025-12-30T10:11:57.047Z level=INFO msg=""Using in-cluster kubernetes configuration""                                                                         │
│ time=2025-12-30T10:11:57.048Z level=INFO msg=""Starting k8s informers.""                                                                                           │
│ time=2025-12-30T10:11:57.048Z level=INFO msg=""Derived max report size from available disk space (taking 90%)"" maxSizeMB=821                                      │
│ time=2025-12-30T10:11:57.048Z level=INFO msg=""Writing reports and state to directory"" directory=/report-data retention=168h0m0s maxSizeMB=821                    │
│ time=2025-12-30T10:11:57.048Z level=INFO msg=""Shutting down file report producer.""                                                                               │
│ time=2025-12-30T10:11:57.048Z level=INFO msg=""Shutting down informer.""                                                                                           │
│ Error: error starting deployment observer: error loading deployment observer: error unmarshaling state: unexpected end of JSON input                             │
│ Usage:                                                                                                                                                           │
│   suse-observability-workload-observer start [flags]                                                                                                             │
│                                                                                                                                                                  │
│ Flags:                                                                                                                                                           │
│   -h, --help                             help for start                                                                                                          │
│       --namespace string                 Specify the namespace to observe (env NAMESPACE).                                                                       │
│       --report-directory string          Directory in which to place the reports (default to empty, which means log to stdout).                                  │
│       --report-max-size-mb int           Max amount of data to store (defaults to detecting the current available disk space in the directory). (default -1)     │
│       --report-retention duration        Amount of time to retain reports (default 1 week). (default 168h0m0s)                                                   │
│       --state-report-interval duration   Specify the interval with which to report all problems in the current state. (default 1m0s)                             │
│                                                                                                                                                                  │
│ Global Flags:                                                                                                                                                    │
│       --log-level LogLevel   then minimum severity (error, warn, info, debug) of logs to output (default info)                                                   │
│                                                                                                                                                                  │
│ Error: error starting deployment observer: error loading deployment observer: error unmarshaling state: unexpected end of JSON input  {noformat}",,Bram Schuur,,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b2719c7,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=2}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2025-12-30T12:45:48.690+0100"",""stateCount"":2,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitLab"":{""count"":2,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vvz:,,,,,,,,,,,,,,Marvin - Spacks2 & AgentBump 2,,,,,,,,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_18958_*|*_3_*:*_1_*:*_5223317_*|*_10400_*:*_1_*:*_194898_*|*_10401_*:*_1_*:*_0,,,,,,,,,Done,30/Dec/25 1:06 PM
Upgrade Kops clusters to 1.33,STAC-24119,50143,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,29/Dec/25 10:16 AM,06/Jan/26 9:21 AM,,06/Jan/26 9:21 AM,,,,0,,,"AC:

Verify for any K8s API deprecations and adjust the resources if needed.

Check the KOPS changelog for breaking changes

Upgrade the sandbox-main cluster to 1.33

Thoroughly check the sandbox-main cluster resources for any upgrade issues.

All pods are in running state and ready to serve traffic.

Use Prometheus Alerts

Use Stackstate monitors (nightly)

Plan, schedule, and upgrade the rest of the Kops clusters:

Build a new Devops image with KOPS 1.33.x and older versions removed

Be aware: Karpenter settings are Kubernetes version dependent",,Vladimir Iliakov,,,,61b198bc744c4d006987cf03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b2f3cfe,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=5}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":5,""lastUpdated"":""2025-12-30T09:53:46.567+0100"",""stateCount"":5,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitLab"":{""count"":5,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vvr:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_14993777_*|*_3_*:*_1_*:*_72393186_*|*_10400_*:*_1_*:*_2148_*|*_10401_*:*_1_*:*_0,,,,,,,,,Done,06/Jan/26 9:21 AM
Mismatch in state for tephra on chaos-1,STAC-24118,50142,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Critical,Done,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,29/Dec/25 9:45 AM,05/Jan/26 9:35 AM,,05/Jan/26 9:35 AM,,,,0,,,"Analysis:

(log) [https://grafana.preprod-chaos-1.preprod.stackstate.io/explore?schemaVersion=1&panes={""cnb"":{""datasource"":""P8E80F9AEF21F6940"",""queries"":[{""refId"":""A"",""expr"":""{ namespace%3D\""chaos-1\"", component%3D\""tephra\""} |~ \""1766603143407000000|1766603148260|1766603303389\""\n"",""queryType"":""range"",""datasource"":{""type"":""loki"",""uid"":""P8E80F9AEF21F6940""},""editorMode"":""code""}],""range"":{""from"":""1766516940000"",""to"":""1766603520000""}}}&orgId=1|https://grafana.preprod-chaos-1.preprod.stackstate.io/explore?schemaVersion=1&panes=%7B%22cnb%22:%7B%22datasource%22:%22P8E80F9AEF21F6940%22,%22queries%22:%5B%7B%22refId%22:%22A%22,%22expr%22:%22%7B%20namespace%3D%5C%22chaos-1%5C%22,%20component%3D%5C%22tephra%5C%22%7D%20%7C~%20%5C%221766603143407000000%7C1766603148260%7C1766603303389%5C%22%5Cn%22,%22queryType%22:%22range%22,%22datasource%22:%7B%22type%22:%22loki%22,%22uid%22:%22P8E80F9AEF21F6940%22%7D,%22editorMode%22:%22code%22%7D%5D,%22range%22:%7B%22from%22:%221766516940000%22,%22to%22:%221766603520000%22%7D%7D%7D&orgId=1]

* Tephra fails to write data to WAL due to NN being restarted. The removal of invalids in put in-memory though.
* Ultimately tephra is shut down, however, the final snpashot does get written due to nn being back up. Giving a mismatch between WAL and snapshot.

Proposed remediations:

* Limit doing the final snapshot:
** Only do that upon orderly shutdown
** Do not try to do any side-effects during shutdown, just rely on WAL next startup. <== opting for this one for simplicity",,Bram Schuur,Release StackState,,,5a3a740aea5fc812d8afd681,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@be8ade9,,,,,"{repository={count=7, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":7,""lastUpdated"":""2025-12-30T16:54:13.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":7,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vvj:,,,,,,,,,,,,,,Marvin - Spacks2 & AgentBump 2,,,,,,,,Marvin,,,,,,,,,,,,,2025-12-30 13:24:42.24,10107_*:*_1_*:*_8316801_*|*_3_*:*_1_*:*_82556955_*|*_10400_*:*_1_*:*_12290000_*|*_10401_*:*_1_*:*_0,,30/Dec/25 2:24 PM;5f0c19c95ee2c3002363e486;[Bram Schuur|https://gitlab.com/bramschuursts] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9415] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [stac-24118|https://gitlab.com/stackvista/stackstate/-/tree/stac-24118]:{quote}STAC-24118: Bump SG{quote},,,,,,,Done,05/Jan/26 9:35 AM
Implement permissions for Otel Mappings,STAC-24116,50140,Sub-task,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,29/Dec/25 9:34 AM,06/Jan/26 9:49 AM,,,,,,0,,,,,Lukasz Marchewka,,,,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@293f9a3b,,,,,{},,,,,,,,,,,,,,,,A,1|hzz6ge:zx,,,,,,,,,,,,,,Dashboards release?,Stackpacks 2 - 1,,,,,,,Borg,,,,,,,,,,,,,,,,,,,,46811,STAC-23427,Create OTel Mapping API,In Progress,05/Jan/26 9:31 AM
Implement API handlers,STAC-24115,50138,Sub-task,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,29/Dec/25 9:33 AM,06/Jan/26 9:49 AM,,,,,,0,,,,,Lukasz Marchewka,,,,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@65effbda,,,,,{},,,,,,,,,,,,,,,,A,1|hzz6ge:zv,,,,,,,,,,,,,,Dashboards release?,Stackpacks 2 - 1,,,,,,,Borg,,,,,,,,,,,,,,,,,,,,46811,STAC-23427,Create OTel Mapping API,In Progress,05/Jan/26 9:31 AM
Creating Test script for variables,STAC-24111,50100,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,24/Dec/25 9:03 AM,30/Dec/25 7:03 PM,,30/Dec/25 7:03 PM,,,,0,,,,,rajukumar.macha,,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@665302d1,,,,,{},,,,,,,,,,,,,,,,A,1|i02vuf:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_186972118_*|*_3_*:*_1_*:*_332064601_*|*_10400_*:*_1_*:*_0,,30/Dec/25 7:03 PM;712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60;added script for creating text variables to dashboard and verify UI of variable page,,,,49876,STAC-24050,Adding Dashboard tests into UI automation framework,Done,30/Dec/25 7:03 PM
