Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Approval),Outward issue link (Approval),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Activation Date),Custom field (Actual results),Custom field (Affected services),Custom field (Approvals),Custom field (Bug Template),Custom field (Category),Custom field (Content type),Custom field (Customers),Custom field (Development),Custom field (Due date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected results),Custom field (Focus Areas),Custom field (Goals),Custom field (Handover Points),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Publication date),Custom field (Quality Level),Custom field (Rank),Custom field (Release End Date),Custom field (Release Risk),Custom field (Release Start Date),Custom field (Release State),Custom field (Release Status),Custom field (Release notes),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (SURE Jira link),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (StackState Team),Custom field (Start date),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target Fix Date),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Template),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Generate biome.jsonc from biome.mjs,STAC-24177,50360,Sub-task,In Review,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,13/Jan/26 8:13 PM,14/Jan/26 9:29 AM,,,,,0,,,,,Anton Ovechkin,Release StackState,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f79fc87,,,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-01-13T20:33:26.734+0100"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02w4v:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2026-01-13 19:33:34.568,,,13/Jan/26 8:33 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9438] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24177-generate-biome-from-mjs|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24177-generate-biome-from-mjs]:{quote}STAC-24177 Generate `biome.jsonc` from `biome.mjs`{quote},,49633,STAC-24016,Migrate from Prettier+ESLint to Biome,In Progress,13/Jan/26 8:13 PM
Work on bosch sync memory pressure,STAC-24176,50358,User Story,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,13/Jan/26 4:05 PM,13/Jan/26 4:05 PM,,,,,0,,,,,Bram Schuur,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1fa2fdb0,,,,,{},,,,,,,,,,,,,,,,A,1|i02w4n:,,,,,,,,,,,,,,Marvin - AgentBump 3,,,,,,,,Marvin,,,,,,,,,,,,,,,,,,,,,In Progress,13/Jan/26 4:05 PM
WAL mismatch on chaos champagne,STAC-24173,50353,Bug,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,13/Jan/26 10:07 AM,13/Jan/26 10:08 AM,,,,,0,,,,,Bram Schuur,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@36df77a2,,,,,{},,,,,,,,,,,,,,,,A,1|i02w4f:,,,,,,,,,,,,,,Marvin - AgentBump 3,,,,,,,,Marvin,,,,,,,,,,,,,,,,,,,,,In Progress,13/Jan/26 10:08 AM
scroll bar disappear on traces page,STAC-24171,50318,Bug,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,12/Jan/26 12:58 PM,13/Jan/26 9:39 AM,,13/Jan/26 9:39 AM,,,0,,,"scroll bar disappear on traces page, Please find attached screen capture.

*Tested in Browsers* : firefox and chrome



*chrome:*

!image-20260112-115836.png|width=671,alt=""image-20260112-115836.png""!

*Firefox:*

!image-20260112-120334.png|width=929,alt=""image-20260112-120334.png""!",,rajukumar.macha,Release StackState,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAC-24134,12/Jan/26 12:58 PM;15b410eb-b968-438b-a045-b0a2ad79c02e;image-20260112-115836.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/26675,12/Jan/26 1:04 PM;15b410eb-b968-438b-a045-b0a2ad79c02e;image-20260112-120334.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/26676,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ba9a647,"*Actual behavior*:

scroll bar disappear on traces page
*Expected behavior*:

scroll bar should appear on traces page
*Steps to reproduce*:


*Technical note*:

",,,,"{repository={count=3, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":3,""lastUpdated"":""2026-01-12T14:28:12.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":3,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02w3z:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2026-01-12 12:33:41.719,10107_*:*_1_*:*_1653456_*|*_3_*:*_1_*:*_0,,12/Jan/26 1:33 PM;5f0c19c95ee2c3002363e486;[Sam Jones|https://gitlab.com/sdjnes] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9433] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24171-traces-explorer-not-scrolling|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24171-traces-explorer-not-scrolling]:{quote}STAC-24171 Correct name for class on ScrollingContainer{quote},,,,,Done,13/Jan/26 9:39 AM
Migrate twin.macro pattern #2 !important Modifier,STAC-24164,50277,Technical Debt,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,09/Jan/26 1:46 PM,14/Jan/26 9:38 AM,,14/Jan/26 9:38 AM,,,0,dx,frontend,"h1. *Before:*

{noformat}import ""twin.macro"";

<div tw=""hidden!"" />
<div tw=""!hidden"" />
<div tw=""(hidden ml-auto)!"" />{noformat}

*After:*

{noformat}<div className=""!hidden"" />
<div className=""!hidden"" />
<div className=""!hidden !ml-auto"" />{noformat}

*Explanation:* Twin.macro allows adding {{!important}} to classes by appending {{!}} (e.g., {{hidden!}}) or prefixing {{!}} (e.g., {{!hidden}}). For groups, wrap in parentheses and append {{!}} (e.g., {{(hidden ml-auto)!}}). In pure Tailwind CSS, use the {{!}} prefix directly on each class (e.g., {{!hidden}}). This ensures the style has higher specificity.

Align {{!}} positioning to be prefixed, in all cases ({{css}} and {{tw}} props)

*Best Practice:*

* Use {{!}} prefix sparingly, as it can make debugging specificity issues harder.
* Only use when necessary (e.g., overriding third-party styles).
* Test thoroughly, as {{!important}} can override component variants unexpectedly.",,Anton Ovechkin,Release StackState,Samuel Jones,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7069280d,,,,,"{repository={count=3, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":3,""lastUpdated"":""2026-01-13T14:03:23.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":3,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02w2n:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,2.0,,,,,,,,,,2026-01-13 12:12:13.625,10107_*:*_1_*:*_342295771_*|*_10403_*:*_1_*:*_912759_*|*_3_*:*_2_*:*_1197874_*|*_10400_*:*_2_*:*_2184385_*|*_10401_*:*_1_*:*_0,,13/Jan/26 1:12 PM;712020:a950806e-86c0-42f7-b531-66e40f57b9ee;I couldn’t find any simple cases of important usage in the codebase (using the {{tw}} prop). There are instances of it used with the {{css}} prop which will be handled in [https://stackstate.atlassian.net/browse/STAC-24158|https://stackstate.atlassian.net/browse/STAC-24158|smart-link] ,13/Jan/26 1:32 PM;5f0c19c95ee2c3002363e486;[Sam Jones|https://gitlab.com/sdjnes] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9437] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24164-twin-macro-pattern-2|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24164-twin-macro-pattern-2]:{quote}STAC-24164 Move important `!` from suffix to prefix in twin.macro usages{quote},39584,STAC-24156,Use tailwind without twin.macro,Done,14/Jan/26 9:38 AM
Migrate twin.macro pattern #1 twin.macro groups,STAC-24163,50275,Technical Debt,In Review,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,09/Jan/26 1:46 PM,13/Jan/26 1:06 PM,,,,,0,dx,frontend,"*Before (tw prop):*

{noformat}const interactionStyles = () => <div tw=""hover:(text-black underline) focus:(text-blue-500 underline)"" />;

const mediaStyles = () => <div tw=""sm:(w-4 mt-3) lg:(w-8 mt-6)"" />;

const pseudoElementStyles = () => <div tw=""before:(block w-10 h-10 bg-black)"" />;

const stackedVariants = () => <div tw=""sm:hover:(bg-black text-white)"" />;

const groupsInGroups = () => <div tw=""sm:(bg-black hover:(bg-white w-10))"" />;{noformat}

*Before (css prop with tw):*

{noformat}import tw from ""twin.macro"";

const interactionStyles = () => <div css={tw`hover:(text-black underline) focus:(text-blue-500 underline)`} />;

const mediaStyles = () => <div css={tw`sm:(w-4 mt-3) lg:(w-8 mt-6)`} />;

const pseudoElementStyles = () => <div css={tw`before:(block w-10 h-10 bg-black)`} />;

const stackedVariants = () => <div css={tw`sm:hover:(bg-black text-white)`} />;

const groupsInGroups = () => <div css={tw`sm:(bg-black hover:(bg-white w-10))`} />;{noformat}

*After (both cases):*

{noformat}const interactionStyles = () => (
  <div className=""hover:text-black hover:underline focus:text-blue-500 focus:underline"" />
);

const mediaStyles = () => <div className=""sm:w-4 sm:mt-3 lg:w-8 lg:mt-6"" />;

const pseudoElementStyles = () => <div className=""before:block before:w-10 before:h-10 before:bg-black"" />;

const stackedVariants = () => <div className=""sm:hover:bg-black sm:hover:text-white"" />;

const groupsInGroups = () => <div className=""sm:bg-black sm:hover:bg-white sm:hover:w-10"" />;{noformat}

*Explanation:* Twin.macro's group syntax (e.g., {{hover:(...)}}) allows combining multiple modifiers into a single group for readability. In pure Tailwind CSS, these groups are expanded into individual classes. Tailwind's JIT mode generates only the classes you use, so there's no performance penalty. For complex combinations, use arbitrary variants if needed (e.g., {{[&>svg]:w-4}}).

*Best Practice:*

* Expand groups explicitly - don't rely on shorthand grouping.
* For deeply nested or complex selectors, use Tailwind's arbitrary variants: {{className=""[&:nth-child(3)]:text-red-500""}}
* Test responsive and interactive states thoroughly, as Tailwind handles specificity differently.
* If groups are heavily used, consider using a codemod to automate expansion.",,Anton Ovechkin,Samuel Jones,,61d2f4ebce3652006aaa23ca,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6cf4433,,,,,{},,,,,,,,,,,,,,,,A,1|i02w2f:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,2.0,,,,,,,,,,2026-01-13 12:06:21.708,,,13/Jan/26 1:06 PM;712020:a950806e-86c0-42f7-b531-66e40f57b9ee;I couldn’t find any instances in the codebase. This ticket was created from an older plan so it’s possible that it was already done (consciously or not).,,39584,STAC-24156,Use tailwind without twin.macro,In Progress,13/Jan/26 12:42 PM
Migrate twin.macro pattern #3 css prop or tw prop with twin.macro without className or {...props} spread on the same element → className,STAC-24158,50265,Technical Debt,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,09/Jan/26 1:46 PM,13/Jan/26 1:36 PM,,,,,0,dx,frontend,"*Before (CSS prop):*

{noformat}import tw from ""twin.macro"";

function Component() {
  return <div css={tw`flex items-center gap-4`}>Content</div>;
}{noformat}

*Before (tw prop):*

{noformat}import ""twin.macro"";

function Component() {
  return <div tw=""flex items-center gap-4"">Content</div>;
}{noformat}

*After (both cases):*

{noformat}function Component() {
  return <div className=""flex items-center gap-4"">Content</div>;
}{noformat}


When searching for these types of components, it’s likely you will find ones that also match Pattern #9 (STAC-24166), where there are spread props or the className prop set. In these cases, check the usage of the component to see if: className, tw or css props are passed. If not, those cases become this simple case described in the ticket. Otherwise, leave those components for Pattern #9",,Anton Ovechkin,,,61d2f4ebce3652006aaa23ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@53d3980e,,,,,{},,,,,,,,,,,,,,,,A,1|i02w1b:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,3.0,,,,,,,,,,,,,,,39584,STAC-24156,Use tailwind without twin.macro,In Progress,13/Jan/26 1:36 PM
Fix running pipeline as merged result or branch depending on open MR,STAC-24152,50259,Sub-task,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,08/Jan/26 12:02 PM,09/Jan/26 12:03 PM,,09/Jan/26 12:03 PM,,,0,,,,,Bram Schuur,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@29ae665d,,,,,{},,,,,,,,,,,,,,,,A,1|i02w0n:,,,,,,,,,,,,,,Team Marvin - RBAC Release,Marvin - CVEs & OTEL Mapping,Marvin - Spacks 2 & AgentTopo,Marvin - Spacks & RuntimeEnfor,Marvin - Spacks2 & Agent,Marvin - Spacks2 & AgentBump,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_16734_*|*_3_*:*_1_*:*_79078962_*|*_10400_*:*_1_*:*_7364704_*|*_10401_*:*_1_*:*_0,,,,40080,STAC-22523,Update main agent to latest datadog tag [7.71.2],Done,09/Jan/26 12:03 PM
Build and test branded cluster agent container,STAC-24151,50257,Sub-task,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,08/Jan/26 11:55 AM,08/Jan/26 11:55 AM,,,,,0,,,,,Bram Schuur,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@281f76c1,,,,,{},,,,,,,,,,,,,,,,A,1|i02w0f:,,,,,,,,,,,,,,Team Marvin - RBAC Release,Marvin - CVEs & OTEL Mapping,Marvin - Spacks 2 & AgentTopo,Marvin - Spacks & RuntimeEnfor,Marvin - Spacks2 & Agent,Marvin - Spacks2 & AgentBump,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,Marvin,,,,,,,,,,,,,,,,,,40080,STAC-22523,Update main agent to latest datadog tag [7.71.2],In Progress,08/Jan/26 11:55 AM
Exploring the suse-observability-cli-tests framework,STAC-24146,50219,Internal Work / Quality Improvement,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,07/Jan/26 6:41 AM,09/Jan/26 9:14 AM,,09/Jan/26 9:14 AM,,,0,,,"* Exploring the suse-observability-cli-tests framework
** repo-[https://gitlab.com/stackvista/integrations/suse-observability-cli-tests|https://gitlab.com/stackvista/integrations/suse-observability-cli-tests|smart-link] ",,rajukumar.macha,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39d5b001,,,,,{},,,,,,,,,,,,,,,,A,1|i02vz3:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_41580_*|*_3_*:*_1_*:*_0,,09/Jan/26 9:14 AM;712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60;explored the framework and executed tests on my local machine,,,,,Done,09/Jan/26 9:14 AM
